#{"t_start": 1762704241.0969076, "env_id": "None"}
r,l,t
1261.9999,2000,258.866481
1243.7009,2000,258.866583
1226.7028,2000,258.866598
957.00006,2000,258.866608
947.0,2000,258.866616
1265.4005,2000,258.866625
954.4,2000,258.866634
1512.8,2000,258.866642
1255.2006,2000,258.86665
1257.1006,2000,258.866658
1230.9012,2000,258.866669
1178.0,2000,258.866678
1228.2997,2000,258.866686
1197.6001,2000,258.866694
1466.6003,2000,258.866702
1239.802,2000,258.86671
579.10925,2000,548.706947
631.6013,2000,548.707035
860.30334,2000,548.707046
801.4999,2000,548.707055
1032.2014,2000,548.707064
729.10315,2000,548.707072
753.8074,2000,548.70708
593.20776,2000,548.707088
609.80225,2000,548.707097
589.7062,2000,548.707104
606.9027,2000,548.707113
770.9022,2000,548.707121
753.90564,2000,548.707129
778.0034,2000,548.707138
874.3019,2000,548.707146
629.90015,2000,548.707154
613.60205,2000,871.780812
602.90784,2000,871.780919
610.90295,2000,871.780937
880.1034,2000,871.780951
626.001,2000,871.780964
1137.1019,2000,871.780977
869.3019,2000,871.78099
611.4053,2000,871.781003
626.802,2000,871.781016
884.5001,2000,871.781029
620.0039,2000,871.781041
623.802,2000,871.781054
866.7047,2000,871.781067
860.9037,2000,871.781079
867.40137,2000,871.781092
868.5011,2000,871.781106
626.7025,2000,1202.610444
873.00244,2000,1202.610551
629.4009,2000,1202.610571
874.5016,2000,1202.610584
639.9,2000,1202.610598
629.2014,2000,1202.61061
883.1022,2000,1202.610623
614.9037,2000,1202.610636
624.60156,2000,1202.610648
618.20337,2000,1202.610662
634.3009,2000,1202.610676
888.0,2000,1202.610689
630.3026,2000,1202.610702
615.0039,2000,1202.610714
867.10266,2000,1202.610727
1411.0,2000,1202.61074
634.901,2000,1527.500428
625.70056,2000,1527.500645
622.10266,2000,1527.500668
892.0,2000,1527.500683
632.9015,2000,1527.500697
612.2036,2000,1527.500712
607.3041,2000,1527.500725
587.00977,2000,1527.500738
613.80273,2000,1527.500752
751.4011,2000,1527.500766
610.604,2000,1527.500778
791.0,2000,1527.500793
1370.6003,2000,1527.500806
615.0027,2000,1527.500819
629.1024,2000,1527.500832
618.4026,2000,1527.500845
752.6655,741,1646.048959
626.4021,2000,1839.867482
755.50134,2000,1839.867598
873.0017,2000,1839.867617
850.80664,2000,1839.867632
631.10266,2000,1839.867646
591.00806,2000,1839.86766
632.00244,2000,1839.867674
636.90027,2000,1839.867687
612.00415,2000,1839.867701
628.40234,2000,1839.867714
1157.9008,2000,1839.867727
626.2012,2000,1839.86774
639.1002,2000,1839.867754
640.3002,2000,1839.867768
626.4005,2000,1839.867781
620.10315,2000,1976.921295
605.505,2000,2164.188373
865.8032,2000,2164.188471
613.00415,2000,2164.188485
618.20215,2000,2164.188498
618.1041,2000,2164.188522
623.90076,2000,2164.188571
621.40186,2000,2164.188588
1153.4001,2000,2164.188601
630.30164,2000,2164.188615
602.4053,2000,2164.188628
607.0044,2000,2164.188641
628.10266,2000,2164.188654
606.6035,2000,2164.188667
868.8042,2000,2164.18868
862.8059,2000,2164.188693
624.4026,2000,2304.618074
879.8037,2000,2503.63431
617.3026,2000,2503.634466
741.6023,2000,2503.634485
1291.4001,2000,2503.634498
634.6023,2000,2503.634512
610.0039,2000,2503.634525
805.4121,2000,2503.634538
1127.9071,2000,2503.634552
604.30554,2000,2503.634565
617.7023,2000,2503.634579
598.80444,2000,2503.634592
595.407,2000,2503.634605
594.406,2000,2503.634618
614.50305,2000,2503.63463
632.2007,2000,2503.634643
622.10144,2000,2634.445496
597.3065,2000,2837.179417
753.6,2000,2837.179523
620.60254,2000,2837.179541
603.1051,2000,2837.179555
600.4072,2000,2837.179569
734.7036,2000,2837.179581
617.703,2000,2837.179595
747.7018,2000,2837.179607
866.90295,2000,2837.17962
599.7052,2000,2837.179633
1121.1046,2000,2837.179646
765.7069,2000,2837.179659
859.60474,2000,2837.179672
615.3043,2000,2837.179686
604.40356,2000,2837.179698
1652.5018,2000,2958.867741
1233.5011,1219,3033.132508
879.60034,2000,3154.683034
865.90125,2000,3154.683245
751.3019,2000,3154.683266
861.8052,2000,3154.683281
607.9049,2000,3154.683294
617.1034,2000,3154.683373
621.20386,2000,3154.68339
733.9037,2000,3154.683404
1534.101,2000,3154.683417
609.8054,2000,3154.68343
583.0088,2000,3154.683443
600.505,2000,3154.683457
744.90247,2000,3154.68347
815.2012,2000,3154.683484
772.7001,2000,3275.782594
1004.50305,2000,3342.986485
993.1044,2000,3423.188235
734.2053,2000,3423.18832
1087.603,2000,3423.188332
720.8069,2000,3423.188341
736.20337,2000,3423.188349
863.40405,2000,3423.188358
1233.8052,2000,3423.188366
731.80444,2000,3423.188374
987.9042,2000,3423.188382
992.80396,2000,3423.18839
687.01245,2000,3423.188399
776.00415,2000,3423.188407
716.9071,2000,3423.188416
665.30676,2000,3423.188424
617.40405,2000,3584.6292
630.70056,2000,3737.588078
1000.8037,2000,3820.157736
744.9027,2000,3820.157861
1243.6016,2000,3820.15788
743.30286,2000,3820.157897
734.40454,2000,3820.157913
1072.8054,2000,3820.157931
757.50037,2000,3820.157944
764.80005,2000,3820.157957
740.3036,2000,3820.157969
723.8071,2000,3820.157985
757.40015,2000,3820.157998
664.3019,2000,3820.158013
984.7064,2000,3820.158026
1002.3041,2000,3820.158039
736.6045,2000,3992.804367
1772.8018,2000,4064.401872
1667.0,1425,4066.369265
1863.0,1613,4135.250994
1601.6042,1631,4135.45816
1608.801,1727,4136.490414
727.2053,2000,4139.311791
2139.9058,2000,4139.31189
728.70667,2000,4139.311908
708.11,2000,4139.311922
715.00854,2000,4139.311935
1385.1031,2000,4139.311948
1687.7035,2000,4139.31196
741.70374,2000,4139.311974
1059.9081,2000,4139.311986
1080.1049,2000,4139.312
797.3163,571,4269.874283
1345.7062,2000,4333.68144
2906.0,1206,4398.134014
1521.5026,2000,4398.27268
1662.2024,2000,4400.377816
741.5043,2000,4402.208498
899.20483,2000,4402.384179
1087.5035,2000,4477.609074
2088.102,1949,4479.917504
2000.7008,2000,4480.440907
1692.0,2000,4480.440994
1359.3055,2000,4480.441012
1911.6011,2000,4480.441026
736.2036,2000,4480.441039
751.9032,2000,4480.441052
2021.2012,2000,4480.441065
2073.0017,2000,4599.370093
718.80615,2000,4656.621976
1190.164,987,4659.022354
674.1168,2000,4719.66229
1567.7025,2000,4719.782511
1115.7037,2000,4721.801257
